"telepules","tipus","kisterseg","megye","regio","id","iskola_neve","Iskola_tipus","utca"
"Nagyecsed","LHHK","Mátészalkai","Szabolcs-Szatmár-Bereg","Észak-Alföld",39010898,"Nagyecsedi Református Egyházközség","egyházi jogi személy","Rákóczi utca 77."
"Nagyhalász","LHH","Ibrány-Nagyhalászi","Szabolcs-Szatmár-Bereg","Észak-Alföld",39011546,"Nagyhalászi Református Egyházközség","egyházi jogi személy","Petőfi út 2."
"Nagykőrös","nem_hatranyos _besorolasu","Ceglédi","Pest","Közép-magyarország",11643040,"Nagykőrösi Református Egyházközség","egyházi jogi személy","Szolnoki út 5."
"Nagytarcsa","nem_hatranyos _besorolasu","Gödöllői","Pest","Közép-magyarország",12417040,"Nagytarcsai Evangélikus Egyházközség","egyházi jogi személy","Sztehlo Gábor utca 1."
"Nemesgörzsöny","nem_hatranyos _besorolasu","Pápai","Veszprém","Közép-Dunántúl",39010851,"Nemesgörzsönyi Református Egyházközség","egyházi jogi személy","Rózsa Ferenc utca 18."
"Nyírbogdány","LHH","Ibrány-Nagyhalászi","Szabolcs-Szatmár-Bereg","Észak-Alföld",39011420,"Nyírbogdányi Református Egyházközség","egyházi jogi személy","Kéki út 6."
"Nyírbátor","LHHK","Nyírbátori","Szabolcs-Szatmár-Bereg","Észak-Alföld",39011527,"Nyírbátori Református Egyházközség","egyházi jogi személy","Egyház utca 1."
"Nyíregyháza","nem_hatranyos _besorolasu","Nyíregyházai","Szabolcs-Szatmár-Bereg","Észak-Alföld",39011836,"Gondoskodó Szeretet Szociális-Oktatási Szolgáltató Központ","egyházi jogi személy","Bocskai u. út 49."
"Nyíregyháza","nem_hatranyos _besorolasu","Nyíregyházai","Szabolcs-Szatmár-Bereg","Észak-Alföld",10458040,"Nyíregyháza Városi Református Egyházközség","egyházi jogi személy","Kálvin tér 11."
"Nyíregyháza","nem_hatranyos _besorolasu","Nyíregyházai","Szabolcs-Szatmár-Bereg","Észak-Alföld",39012080,"Nyíregyházi Egyházmegye","egyházi jogi személy","Bethlen Gábor utca 5"
"Nyíregyháza","nem_hatranyos _besorolasu","Nyíregyházai","Szabolcs-Szatmár-Bereg","Észak-Alföld",12112040,"Nyíregyházi Evangélikus Egyházközség","egyházi jogi személy","Luther tér 14."
"Orosháza","HH","Orosházai","Békés","Dél-Alföld",11958040,"Orosházi Evangélikus Egyházközség","egyházi jogi személy","Thék Endre utca 2."
"Orosháza","HH","Orosházai","Békés","Dél-Alföld",39010012,"Orosházi Református Egyházközség","egyházi jogi személy","Könd utca 5."
"Pannonhalma","nem_hatranyos _besorolasu","Pannonhalmai","Győr-Moson-Sopron","Nyugat-Dunántúl",11408010,"Magyar Bencés Kongregáció Pannonhalmi Főapátság","egyházi jogi személy",""
"Papkeszi","nem_hatranyos _besorolasu","Veszprémi","Veszprém","Közép-Dunántúl",39011062,"Papkeszi Református Egyházközség","egyházi jogi személy","Fő utca 20."
"Petneháza","LHHK","Baktalórántházai","Szabolcs-Szatmár-Bereg","Észak-Alföld",39012097,"Magyar Pünkösdi Egyház Kelet Humán Szolgálat","egyházi jogi személy","Petőfi út 42."
"Pilis","nem_hatranyos _besorolasu","Monori","Pest","Közép-magyarország",39012018,"Pilisi Református Egyházközség","egyházi jogi személy","Rákóczi út 30"
"Pápa","nem_hatranyos _besorolasu","Pápai","Veszprém","Közép-Dunántúl",12180040,"Dunántúli Református Egyházkerület","egyházi jogi személy","Árok utca 6."
"Pápa","nem_hatranyos _besorolasu","Pápai","Veszprém","Közép-Dunántúl",39000715,"Pápai Evangélikus Egyházközség","egyházi jogi személy","Széchenyi utca 15."
"Pátka","nem_hatranyos _besorolasu","Székesfehérvári","Fejér","Közép-Dunántúl",39012107,"Pátkai Református Egyházközség","egyházi jogi személy","Kossuth Lajos utca 58."
"Pécel","nem_hatranyos _besorolasu","Gödöllői","Pest","Közép-magyarország",39011576,"Hetednapi Adventista Egyház","egyházi jogi személy","Ráday utca 12."
"Pécel","nem_hatranyos _besorolasu","Gödöllői","Pest","Közép-magyarország",39010140,"Péceli Református Egyházközség","egyházi jogi személy","Kálvin tér 2."
"Pécs","nem_hatranyos _besorolasu","Pécsi","Baranya","Dél-Dunántúl",10154040,"Baranyai Református Egyházmegye","egyházi jogi személy","Szabadság utca 35."
"Pécs","nem_hatranyos _besorolasu","Pécsi","Baranya","Dél-Dunántúl",11561040,"Magyar Katolikus Egyház Pécsi Egyházmegye","egyházi jogi személy","Dóm tér 2."
"Pécs","nem_hatranyos _besorolasu","Pécsi","Baranya","Dél-Dunántúl",39012199,"Pécsi Baptista Gyülekezet","egyházi jogi személy","Bokor utca 52."
"Pécs","nem_hatranyos _besorolasu","Pécsi","Baranya","Dél-Dunántúl",39012202,"Pécsi Evangélikus Egyházközség","egyházi jogi személy","Dischka Győző utca 4-6."
