jelentkezesi_hatarido,allas_megnevezese,kozzetevo,munkavegzes_helye,tipus,jelentkezes_statusza,id,van_e_vesszo
2017-11-22,minőségügyi referens,Emberi Erőforrások Minisztériuma,"Nem_megadott , Nem_megadott",Köztisztviselő,,tdca7qsce8,1
2017-11-22,védelmi referens,Emberi Erőforrások Minisztériuma,"Nem_megadott , Nem_megadott",Köztisztviselő,,tdca6egbf8,1
2017-11-22,"titkársági ügyintéző, asszisztens",Újfehértói Polgármesteri Hivatal,"Szabolcs-Szatmár-Bereg megye
                             , Újfehértó",Köztisztviselő,,tdcd1tlcf2,1
2017-11-22,főépítész munkatársa,Esztergomi Közös Önkormányzati Hivatal,"Komárom-Esztergom megye
                             , Esztergom",Köztisztviselő,,tdcf2zlyb7,1
2017-11-22,pénzügyi ügyintéző,Mikei Közös Hivatal,"Somogy megye
                             , Mike",Köztisztviselő,,tdch5th5i0,1
2017-11-22,igazgatási csoportvezető,Magyarcsanádi Közös Önkormányzati Hivatal,"Csongrád megye
                             , Magyarcsanád",Köztisztviselő,,tdch3wlbi6,1
2017-11-23,"belgyógyász szakorvos, vagy szakorvos jelölt, vagy általános orvos",Egyesített Szent István és Szent László Kórház - Rendelőintézet,"Budapest, Budapest",Közalkalmazott,,r17e3wsba9,1
2017-11-23,aljegyző,Somogyzsitfai Közös Önkormányzati Hivatal,"Somogy megye
                             , Somogyzsitfa",Köztisztviselő,,tamc4ts3c4,1
2017-11-23,szociális munkás,Békési Kistérségi Intézményfenntartó Társulás,"Békés megye
                             , Békés",Közalkalmazott,,ts7j5uave3,1
2017-11-23,pénzügyi ügyintéző,Hidasi Polgármesteri Hivatal,"Baranya megye
                             , Hidas",Köztisztviselő,,ts5a6idxa9,1
2017-11-23,Belgyógyász,Veszprém Megyei Fogyatékos Személyek Pszichiátriai és Szenvedélybetegek Integrált Intézménye 9. sz. telephelye,"Veszprém megye
                             , Csabrendek",Közalkalmazott,,ts5c6wl7b1,1
2017-11-23,óvodavezető,"Csengerújfalu, Tyukod és Ura Óvodai Társulása","Szabolcs-Szatmár-Bereg megye
                             , Tyukod",Közalkalmazott,,ts5c5tdyc1,1
2017-11-23,könyvtáros,Pannónia Kulturális Központ és Könyvtár Balatonalmádi,"Veszprém megye
                             , Balatonalmádi",Közalkalmazott,,ts5e9ulba9,1
2017-11-23,Aljegyző,Hajdúsámson Város Önkormányzata Polgármestere,"Hajdú-Bihar megye
                             , Hajdúsámson",Köztisztviselő,,ts5e9pfye7,1
2017-11-23,nefrológus szakorvos vagy szakorvosjelölt,Szent Imre Kórház,"Budapest, Budapest",Közalkalmazott,,ts5e7wjcf7,1
2017-11-23,labor szakorvos,Szent Imre Kórház,"Budapest, Budapest",Közalkalmazott,,ts5e6wg7c9,1
2017-11-23,főorvos,Szent Imre Kórház,"Budapest, Budapest",Közalkalmazott,,ts5e5wfvi1,1
2017-11-23,gyógypedagógus - tanító,Mezőkövesdi Tankerületi Központ,"Borsod-Abaúj-Zemplén megye
                             , Hejőpapi",Közalkalmazott,,ts5f1i1ni2,1
2017-11-23,Dietetikus,Parádfürdői Állami Kórház,"Heves megye
                             , Parádfürdő",Közalkalmazott,,ts5g0uf7d4,1
2017-11-23,gazdasági vezető ügyvivő szakértői munkakör mellett,Semmelweis Egyetem,"Budapest, Budapest",Közalkalmazott,,ts5i8q1mi1,1
2017-11-23,tanszékvezető-helyettes,Budapesti Műszaki és Gazdaságtudományi Egyetem,"Budapest, Budapest",Közalkalmazott,,ts5i4elma7,1
2017-11-23,Ügyintéző (tűz- és munkavédelmi előadó) 3 fő,Semmelweis Egyetem,"Nem_megadott , Nem_megadott",Közalkalmazott,,ts5i2qsyj3,1
2017-11-23,Karbantartó,Szociális Gondozó Központ - Érd,"Pest megye
                             , Érd",Közalkalmazott,,tdyf8u1mc8,1
2017-11-23,2  fő  óvodapedagógus,Napfény Óvoda - Ercsi,"Fejér megye
                             , Ercsi",Közalkalmazott,,tdyf8pgcg6,1
2017-11-23,technika - bármely szakos pedagógus,Érdi Tankerületi Központ,"Pest megye
                             , Százhalombatta",Közalkalmazott,,tdyh0zgxg2,1
2017-11-23,projekt referens,Budapest Főváros VII. kerület Erzsébetváros Önkormányzat Bischitz Johanna Integrált Humán Szolgáltató Központ,"Budapest, Budapest",Közalkalmazott,,tdxa5ukmf8,1
2017-11-23,matematika - bármely szakos általános iskolai tanár,Hajdúböszörményi Tankerületi Központ,"Hajdú-Bihar megye
                             , Polgár",Közalkalmazott,,tdxd4uacc7,1
2017-11-23,magyar nyelv és irodalom - történelem vagy bármely szakos tanár,Hajdúböszörményi Tankerületi Központ,"Hajdú-Bihar megye
                             , Polgár",Közalkalmazott,,tdxd4idne6,1
2017-11-23,angol nyelv - bármely szakos általános iskolai tanár,Hajdúböszörményi Tankerületi Központ,"Hajdú-Bihar megye
                             , Polgár",Közalkalmazott,,tdxd4og7g5,1
2017-11-23,óvodapedagógus,Budapest Főváros XV. kerületi Önkormányzat Újpalotai Összevont Óvoda,"Budapest, Budapest",Közalkalmazott,,tdxe6ifba1,1
2017-11-23,óvodapedagógus,Budapest Főváros XV. kerületi Önkormányzat Újpalotai Összevont Óvoda,"Budapest, Budapest",Közalkalmazott,,tdxe5edmj7,1
2017-11-23,óvodapedagógus,Budapest Főváros XV. kerületi Önkormányzat Újpalotai Összevont Óvoda,"Budapest, Budapest",Közalkalmazott,,tdxe5is5h3,1
2017-11-23,informatika szakos pedagógus,Érdi Szakképzési Centrum,"Pest megye
                             , Dabas",Közalkalmazott,,tdxe2zhvf0,1
2017-11-23,tanító vagy gyógypedagógus,Tatabányai Tankerületi Központ Óvárosi Általános Iskola,"Komárom-Esztergom megye
                             , Tatabánya",Közalkalmazott,,tdxf9ufvi5,1
2017-11-23,terápiás munkatárs,Óbudai Rehabilitációs és Foglalkoztatási Központ,"Budapest, Budapest",Közalkalmazott,,tdxf5u15h2,1
2017-11-23,kiemelt főelőadó,Adyligeti Rendészeti Szakgimnázium,"Pest megye
                             , Remeteszőlős",Közalkalmazott,,tdxg6qk7a4,1
2017-11-23,matematika-bármely szakos tanár,Egri Tankerületi Központ,"Heves megye
                             , Füzesabony",Közalkalmazott,,tdxg6rdbe2,1
2017-11-23,igazgató,Berente Község Önkormányzata,"Borsod-Abaúj-Zemplén megye
                             , Berente",Közalkalmazott,,tdxg5pdmc9,1
2017-11-23,Informatika tanár,Adyligeti Rendészeti Szakgimnázium,"Pest megye
                             , Remeteszőlős",Közalkalmazott,,tdxg0wsnd5,1
2017-11-23,költségvetési osztályvezető,Országos Vízügyi Főigazgatóság,"Budapest, Budapest",Közalkalmazott,,tdxh7zjnc7,1
2017-11-23,2 fő gyógypedagógus ,Miskolci Tankerületi Központ,"Borsod-Abaúj-Zemplén megye
                             , Miskolc",Közalkalmazott,,tdxh7pfbi4,1
2017-11-23,település gazdálkodási ügyintéző-kertész,Település Ellátó és Szolgáltató Szervezet,"Veszprém megye
                             , Berhida",Közalkalmazott,,tdxh6qh7a3,1
2017-11-23,Nevelő,Baranya Megyei Gyermekvédelmi Központ és Területi Gyermekvédelmi Szakszolgálat - Pécs,"Baranya megye
                             , Szentlőrinc",Közalkalmazott,,tdxh4ekni5,1
2017-11-23,Gyermekfelügyelő,Baranya Megyei Gyermekvédelmi Központ és Területi Gyermekvédelmi Szakszolgálat - Pécs,"Baranya megye
                             , Pécs",Közalkalmazott,,tdxh3wf7d8,1
2017-11-23,Gyermekfelügyelő,Baranya Megyei Gyermekvédelmi Központ és Területi Gyermekvédelmi Szakszolgálat - Pécs,"Baranya megye
                             , Bogád",Közalkalmazott,,tdxh2ojvc4,1
2017-11-23,Gyermekfelügyelő (részmunkaidős),Baranya Megyei Gyermekvédelmi Központ és Területi Gyermekvédelmi Szakszolgálat- Pécs,"Baranya megye
                             , Bogád",Közalkalmazott,,tdxh1og7j6,1
2017-11-23,matematika-informatika szakos tanár,Közép-Pesti  Tankerületi Központ,"Budapest, Budapest",Közalkalmazott,,tdxi6uhbb7,1
2017-11-23,német nemzetiségi tanító,Közép-Pesti  Tankerületi Központ,"Budapest, Budapest",Közalkalmazott,,tdxi5r1vd1,1
2017-11-23,német-földrajz szakos tanár,Közép-Pesti  Tankerületi Központ,"Budapest, Budapest",Közalkalmazott,,tdxi4wfcg5,1
2017-11-23,tanító,Közép-Pesti  Tankerületi Központ,"Budapest, Budapest",Közalkalmazott,,tdxi4udne1,1
2017-11-23,aljegyző,Kevermesi Közös Önkormányzati Hivatal,"Békés megye
                             , Kevermes",Köztisztviselő,,tdch8okce1,1
2017-11-23,menekültügyi ügyintéző,Bevándorlási és Menekültügyi Hivatal,"Budapest, Budapest",Köztisztviselő,,tdcj4elcd1,1
2017-11-23,lebonyolítási referens,Magyar Államkincstár Tolna Megyei Igazgatósága,"Tolna megye
                             , Szekszárd",Köztisztviselő,,tdcj1tlni5,1
2017-11-24,beszerzési referens,Szociális és Gyermekvédelmi Főigazgatóság,"Hajdú-Bihar megye
                             , Debrecen",Köztisztviselő,,e17j3ujya1,1
2017-11-24,Akut pszichiátria főnővér,Sátoraljaújhelyi Erzsébet Kórház,"Borsod-Abaúj-Zemplén megye
                             , Sátoraljaújhely",Közalkalmazott,,tsne5osyc2,1
2017-11-24,szociális asszisztens,HÍD Szociális és Gyermekjóléti Szolgálat - Budakeszi,"Pest megye
                             , Budakeszi",Közalkalmazott,,tsnh1u1va7,1
